ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-02 04:08:01,22.008851569665453,21.1950325961989,22.549119545835516,22.008851569665453,22.008851569665453,-0.1055196809574861,-0.1055196809574861,-0.1055196809574861,-0.1055196809574861,-0.1055196809574861,-0.1055196809574861,0.0,0.0,0.0,21.903331888707967
2020-02-02 04:13:01,22.01098969674725,21.197871390584627,22.578846541086712,22.01098969674725,22.01098969674725,-0.11243644356215905,-0.11243644356215905,-0.11243644356215905,-0.11243644356215905,-0.11243644356215905,-0.11243644356215905,0.0,0.0,0.0,21.89855325318509
2020-02-02 04:18:01,22.01312782382904,21.227609387531384,22.55299890241602,22.01312782382904,22.01312782382904,-0.11916551912834054,-0.11916551912834054,-0.11916551912834054,-0.11916551912834054,-0.11916551912834054,-0.11916551912834054,0.0,0.0,0.0,21.8939623047007
2020-02-02 04:23:01,22.015265950910834,21.201699028370317,22.59117394558692,22.015265950910834,22.015265950910834,-0.1256790698596158,-0.1256790698596158,-0.1256790698596158,-0.1256790698596158,-0.1256790698596158,-0.1256790698596158,0.0,0.0,0.0,21.88958688105122
2020-02-02 04:28:01,22.017404077992627,21.2321763582816,22.6250598887312,22.017404077992627,22.017404077992627,-0.13195122107126234,-0.13195122107126234,-0.13195122107126234,-0.13195122107126234,-0.13195122107126234,-0.13195122107126234,0.0,0.0,0.0,21.885452856921365
2020-02-02 04:33:01,22.019542205074423,21.177946434692227,22.594161096184358,22.019542205074423,22.019542205074423,-0.13795826560639338,-0.13795826560639338,-0.13795826560639338,-0.13795826560639338,-0.13795826560639338,-0.13795826560639338,0.0,0.0,0.0,21.88158393946803
2020-02-02 04:38:01,22.021680332156215,21.17214665603222,22.51373786818365,22.021680332156215,22.021680332156215,-0.1436788488876609,-0.1436788488876609,-0.1436788488876609,-0.1436788488876609,-0.1436788488876609,-0.1436788488876609,0.0,0.0,0.0,21.878001483268555
2020-02-02 04:43:01,22.023818459238008,21.175323547305396,22.498833825773833,22.023818459238008,22.023818459238008,-0.1490941332091815,-0.1490941332091815,-0.1490941332091815,-0.1490941332091815,-0.1490941332091815,-0.1490941332091815,0.0,0.0,0.0,21.874724326028826
2020-02-02 04:48:01,22.0259565863198,21.182340052616762,22.512297145714115,22.0259565863198,22.0259565863198,-0.15418793986767937,-0.15418793986767937,-0.15418793986767937,-0.15418793986767937,-0.15418793986767937,-0.15418793986767937,0.0,0.0,0.0,21.87176864645212
2020-02-02 04:53:01,22.028094713401597,21.195260330876106,22.58068608233359,22.028094713401597,22.028094713401597,-0.1589468680824524,-0.1589468680824524,-0.1589468680824524,-0.1589468680824524,-0.1589468680824524,-0.1589468680824524,0.0,0.0,0.0,21.869147845319144
2020-02-02 04:58:01,22.030232840483386,21.16815346724615,22.581473134945753,22.030232840483386,22.030232840483386,-0.1633603897071346,-0.1633603897071346,-0.1633603897071346,-0.1633603897071346,-0.1633603897071346,-0.1633603897071346,0.0,0.0,0.0,21.866872450776253
2020-02-02 05:03:01,22.03237096756518,21.136186518578587,22.537746298080172,22.03237096756518,22.03237096756518,-0.16742091901296446,-0.16742091901296446,-0.16742091901296446,-0.16742091901296446,-0.16742091901296446,-0.16742091901296446,0.0,0.0,0.0,21.864950048552213
2020-02-02 05:08:01,22.034509094646975,21.12273529595576,22.49923165754555,22.034509094646975,22.034509094646975,-0.1711238570142338,-0.1711238570142338,-0.1711238570142338,-0.1711238570142338,-0.1711238570142338,-0.1711238570142338,0.0,0.0,0.0,21.86338523763274
2020-02-02 05:13:01,22.036647221728767,21.220078685629215,22.586078894839773,22.036647221728767,22.036647221728767,-0.17446760996794877,-0.17446760996794877,-0.17446760996794877,-0.17446760996794877,-0.17446760996794877,-0.17446760996794877,0.0,0.0,0.0,21.86217961176082
2020-02-02 05:18:01,22.03878534881056,21.18770451546847,22.538428591588307,22.03878534881056,22.03878534881056,-0.17745358197003672,-0.17745358197003672,-0.17745358197003672,-0.17745358197003672,-0.17745358197003672,-0.17745358197003672,0.0,0.0,0.0,21.86133176684052
2020-02-02 05:23:01,22.040923475892352,21.116123911635245,22.499964610362394,22.040923475892352,22.040923475892352,-0.18008614172374274,-0.18008614172374274,-0.18008614172374274,-0.18008614172374274,-0.18008614172374274,-0.18008614172374274,0.0,0.0,0.0,21.86083733416861
2020-02-02 05:28:01,22.04306160297415,21.15599146876274,22.568774339340866,22.04306160297415,22.04306160297415,-0.18237256373883518,-0.18237256373883518,-0.18237256373883518,-0.18237256373883518,-0.18237256373883518,-0.18237256373883518,0.0,0.0,0.0,21.860689039235314
2020-02-02 05:33:01,22.04519973005594,21.135564039970195,22.50097507752099,22.04519973005594,22.04519973005594,-0.1843229445386344,-0.1843229445386344,-0.1843229445386344,-0.1843229445386344,-0.1843229445386344,-0.1843229445386344,0.0,0.0,0.0,21.860876785517306
2020-02-02 05:38:01,22.047337857137734,21.152937636639475,22.530903317993335,22.047337857137734,22.047337857137734,-0.18595009453730912,-0.18595009453730912,-0.18595009453730912,-0.18595009453730912,-0.18595009453730912,-0.18595009453730912,0.0,0.0,0.0,21.861387762600426
2020-02-02 05:43:01,22.049475984219526,21.144981549082523,22.535968931044472,22.049475984219526,22.049475984219526,-0.1872694064992139,-0.1872694064992139,-0.1872694064992139,-0.1872694064992139,-0.1872694064992139,-0.1872694064992139,0.0,0.0,0.0,21.86220657772031
2020-02-02 05:48:01,22.051614111301323,21.127124543111808,22.535293966133683,22.051614111301323,22.051614111301323,-0.18829870170117607,-0.18829870170117607,-0.18829870170117607,-0.18829870170117607,-0.18829870170117607,-0.18829870170117607,0.0,0.0,0.0,21.863315409600148
2020-02-02 05:53:01,22.053752238383115,21.200544451119974,22.500602556436498,22.053752238383115,22.053752238383115,-0.18905805506094409,-0.18905805506094409,-0.18905805506094409,-0.18905805506094409,-0.18905805506094409,-0.18905805506094409,0.0,0.0,0.0,21.86469418332217
2020-02-02 05:58:01,22.055890365464908,21.150685274973526,22.541358676506015,22.055890365464908,22.055890365464908,-0.18956960069210652,-0.18956960069210652,-0.18956960069210652,-0.18956960069210652,-0.18956960069210652,-0.18956960069210652,0.0,0.0,0.0,21.8663207647728
2020-02-02 06:03:01,22.0580284925467,21.161819609365292,22.569352368021573,22.0580284925467,22.0580284925467,-0.1898573194875619,-0.1898573194875619,-0.1898573194875619,-0.1898573194875619,-0.1898573194875619,-0.1898573194875619,0.0,0.0,0.0,21.86817117305914
2020-02-02 06:08:01,22.060166619628497,21.21803956473927,22.603834293013755,22.060166619628497,22.060166619628497,-0.18994681053006562,-0.18994681053006562,-0.18994681053006562,-0.18994681053006562,-0.18994681053006562,-0.18994681053006562,0.0,0.0,0.0,21.87021980909843
2020-02-02 06:13:01,22.063201648300062,21.170169187007453,22.55060229109608,22.063201648300062,22.063201648300062,-0.18986504814511104,-0.18986504814511104,-0.18986504814511104,-0.18986504814511104,-0.18986504814511104,-0.18986504814511104,0.0,0.0,0.0,21.87333660015495
2020-02-02 06:18:01,22.066236676971627,21.165892359787517,22.609743588008783,22.066236676971627,22.066236676971627,-0.18964012671038916,-0.18964012671038916,-0.18964012671038916,-0.18964012671038916,-0.18964012671038916,-0.18964012671038916,0.0,0.0,0.0,21.876596550261237
2020-02-02 06:23:01,22.069271705643192,21.194863618185433,22.557975185256407,22.069271705643192,22.069271705643192,-0.18930099525220995,-0.18930099525220995,-0.18930099525220995,-0.18930099525220995,-0.18930099525220995,-0.18930099525220995,0.0,0.0,0.0,21.87997071039098
2020-02-02 06:28:01,22.072306734314758,21.24696580762999,22.59582098191781,22.072306734314758,22.072306734314758,-0.18887718406983703,-0.18887718406983703,-0.18887718406983703,-0.18887718406983703,-0.18887718406983703,-0.18887718406983703,0.0,0.0,0.0,21.88342955024492
